Date,RaceTime,Track,RaceName,Distance,Dist_Furlongs,Class,Going,PrizeMoney,Runners,Direction,CardNo,Horse,HorseAge,Jockey,JClaim,Trainer,Stall,OfficialRating,Weight_Pounds,Odds,Form,Days,Headgear,Stallion,Dam,HorseType,CD,
"2019-06-20","14:10:00","Ripon","thesecretspa.net EBF Novice Stakes","6f ","6","Class 5","Good To Soft","3881","8","Straight","2","Coastal Mist (IRE)","2","Davis, Sean","3","Quinn, J J","8","0","132","1.75","1","21",,"Gutaifan (IRE)","Shes A Character","Colt",,
"2019-06-20","14:10:00","Ripon","thesecretspa.net EBF Novice Stakes","6f ","6","Class 5","Good To Soft","3881","8","Straight","3","Constitutional (IRE)","2","Curtis, B A","0","Burke, K R","2","0","128","8.50","36","38",,"Society Rock (IRE)","Last Hooray","Colt",,
"2019-06-20","14:10:00","Ripon","thesecretspa.net EBF Novice Stakes","6f ","6","Class 5","Good To Soft","3881","8","Straight","4","Kilig","2","Allan, David","0","Easterby, T D","9","0","128","20.00","25","14"," TT","Fountain Of Youth (IRE)","Todays The Day","Gelding",,
"2019-06-20","14:10:00","Ripon","thesecretspa.net EBF Novice Stakes","6f ","6","Class 5","Good To Soft","3881","8","Straight","5","National League (IRE)","2","Mathers, Patrick","0","Fahey, R A","4","0","128","14.00","none",,,"Gutaifan (IRE)","Margarita (IRE)","Gelding",,
"2019-06-20","14:10:00","Ripon","thesecretspa.net EBF Novice Stakes","6f ","6","Class 5","Good To Soft","3881","8","Straight","6","Silver Mission (IRE)","2","Hamilton, Tony","0","Fahey, R A","6","0","128","2.75","5","31",,"Dark Angel (IRE)","Miss Indigo","Colt",,
"2019-06-20","14:10:00","Ripon","thesecretspa.net EBF Novice Stakes","6f ","6","Class 5","Good To Soft","3881","8","Straight","7","What A Business (IRE)","2","Mulrennan, Paul","0","Fell, Roger","5","0","128","7.00","203","22",,"Gregorian (USA)","Lady Bee (IRE)","Colt",,
"2019-06-20","14:10:00","Ripon","thesecretspa.net EBF Novice Stakes","6f ","6","Class 5","Good To Soft","3881","8","Straight","8","William Alexander","2","McHugh, B","0","Eyre, J L","3","0","128","50.00","none",,,"Zoffany (IRE)","Xaloc (IRE)","Colt",,
"2019-06-20","14:10:00","Ripon","thesecretspa.net EBF Novice Stakes","6f ","6","Class 5","Good To Soft","3881","8","Straight","9","Just Jean (IRE)","2","Mullen, Andrew","0","Hammond, Micky","7","0","123","7.00","2","14",,"Society Rock (IRE)","Yashila (IRE)","Filly",,
"2019-06-20","14:20:00","Chelmsford City","Essex Life Magazine Handicap","2m ","16","Class 5","Standard","5499","9","Left Handed","1","Eye of The Storm (IRE)","9","Turner, Hayley","0","Dore, C R","1","77","136","10.00","'0508671","31",,"Galileo (IRE)","Mohican Princess","Gelding","D",
"2019-06-20","14:20:00","Chelmsford City","Essex Life Magazine Handicap","2m ","16","Class 5","Standard","5499","9","Left Handed","2","Paddy A (IRE)","5","Downing, George","0","Williams, Ian","8","77","136","4.50","3O998P5","15","Vsor","Holy Roman Emperor (IRE)","Lilting (IRE)","Gelding","C",
"2019-06-20","14:20:00","Chelmsford City","Essex Life Magazine Handicap","2m ","16","Class 5","Standard","5499","9","Left Handed","3","Alabaster","5","Morris, Luke","0","Prescott, Sir Mark","3","76","135","2.50","5352333","24",,"Archipenko (USA)","Alvarita","Gelding","C",
"2019-06-20","14:20:00","Chelmsford City","Essex Life Magazine Handicap","2m ","16","Class 5","Standard","5499","9","Left Handed","4","Conkering Hero (IRE)","5","Hart, Jason","0","Tuite, Joseph","9","74","133","25.00","1143088","127","Vsor","Arakan (USA)","Brioney (IRE)","Gelding","CD",
"2019-06-20","14:20:00","Chelmsford City","Essex Life Magazine Handicap","2m ","16","Class 5","Standard","5499","9","Left Handed","5","Jumping Cats","4","Mitchell, Jack","0","Wall, C F","5","70","129","2.50","7821365","19","CkPc","Champs Elysees","Pivotal Drive (IRE)","Gelding","CD",
"2019-06-20","14:20:00","Chelmsford City","Essex Life Magazine Handicap","2m ","16","Class 5","Standard","5499","9","Left Handed","6","Winter Spice (IRE)","8","ONeill, K T","0","Farrelly, Johnny","7","70","129","33.00","322150P","16","Hood","Verglas (IRE)","Summer Spice (IRE)","Gelding",,
"2019-06-20","14:20:00","Chelmsford City","Essex Life Magazine Handicap","2m ","16","Class 5","Standard","5499","9","Left Handed","7","Remember The Man (IRE)","6","Noble, Cameron","3","Bell, M L W","6","67","126","6.00","32186","40","CkPc","Dalakhani (IRE)","Perfect Hedge","Gelding","D",
"2019-06-20","14:20:00","Chelmsford City","Essex Life Magazine Handicap","2m ","16","Class 5","Standard","5499","9","Left Handed","8","Carvelas (IRE)","10","Mackay, Nicky","0","Jenkins, J R","4","58","117","8.00","5784551","14",,"Cape Cross (IRE)","Caraiyma (IRE)","Gelding","CD",
"2019-06-20","14:20:00","Chelmsford City","Essex Life Magazine Handicap","2m ","16","Class 5","Standard","5499","9","Left Handed","9","Demophon","5","Da Silva, Raul","0","Flook, S","2","55","114","50.00","'06P2669","23",,"Oasis Dream","Galatee (FR)","Gelding",,
"2019-06-20","14:30:00","Ascot","Norfolk Stakes (Group 2)","5f ","5","Group 2","Soft","56710","14","Straight","1","Aali (IRE)","2","Dettori, L","0","Crisford, Simon","9","0","127","5.00","2","15",,"Society Rock (IRE)","Motion Lass","Colt",,
"2019-06-20","14:30:00","Ascot","Norfolk Stakes (Group 2)","5f ","5","Group 2","Soft","56710","14","Straight","2","Air Force Jet","2","Murphy, Oisin","0","OBrien, Joseph Patrick","8","0","127","8.00","21","19",,"Charm Spirit (IRE)","Wind Fire (USA)","Colt","D",
"2019-06-20","14:30:00","Ascot","Norfolk Stakes (Group 2)","5f ","5","Group 2","Soft","56710","14","Straight","3","Cool Sphere (USA)","2","McDonald, James","0","Cowell, R M H","7","0","127","80.00","2","23",,"Orb (USA)","Faringdon Circle (USA)","Colt",,
"2019-06-20","14:30:00","Ascot","Norfolk Stakes (Group 2)","5f ","5","Group 2","Soft","56710","14","Straight","4","Dubai Station","2","Spencer, Jamie","0","Burke, K R","3","0","127","14.00","21","14",,"Brazen Beau (AUS)","Princess Guest (IRE)","Colt","D",
"2019-06-20","14:30:00","Ascot","Norfolk Stakes (Group 2)","5f ","5","Group 2","Soft","56710","14","Straight","5","Expressionist (IRE)","2","Doyle, James","0","Appleby, Charlie","6","0","127","11.00","1","40",,"Night Of Thunder (IRE)","Permission Slip (IRE)","Colt","CD",
"2019-06-20","14:30:00","Ascot","Norfolk Stakes (Group 2)","5f ","5","Group 2","Soft","56710","14","Straight","6","Firepower (FR)","2","Kirby, Adam","0","Cox, C G","2","0","127","33.00","16","33",,"Starspangledbanner (AUS)","Torentosa (FR)","Colt","D",
"2019-06-20","14:30:00","Ascot","Norfolk Stakes (Group 2)","5f ","5","Group 2","Soft","56710","14","Straight","7","King Neptune (USA)","2","OBrien, Donnacha","0","OBrien, A P","1","0","127","20.00","122","27",,"War Front (USA)","Agreeable Miss (USA)","Colt","D",
"2019-06-20","14:30:00","Ascot","Norfolk Stakes (Group 2)","5f ","5","Group 2","Soft","56710","14","Straight","8","Maven (USA)","2",,"0","Ward, Wesley","5","0","127","0.00","none",,"Blnk TT","American Pharoah (USA)","Richies Party Girl (USA)","Colt",,
"2019-06-20","14:30:00","Ascot","Norfolk Stakes (Group 2)","5f ","5","Group 2","Soft","56710","14","Straight","9","Misty Grey (IRE)","2","Sousa, Silvestre De","0","Johnston, M","14","0","127","16.00","313","20",,"Dark Angel (IRE)","Chinese White (IRE)","Colt",,
"2019-06-20","14:30:00","Ascot","Norfolk Stakes (Group 2)","5f ","5","Group 2","Soft","56710","14","Straight","10","Mount Fuji (IRE)","2","Moore, Ryan","0","OBrien, A P","13","0","127","7.00","1","29",,"Dark Angel (IRE)","Shermeen (IRE)","Colt","D",
"2019-06-20","14:30:00","Ascot","Norfolk Stakes (Group 2)","5f ","5","Group 2","Soft","56710","14","Straight","11","Real Appeal (GER)","2","Hamelin, A","0","Palussiere, Matthieu","12","0","127","25.00","none",,"Blnk","Sidestep (AUS)","Runaway Sparkle","Colt",,
"2019-06-20","14:30:00","Ascot","Norfolk Stakes (Group 2)","5f ","5","Group 2","Soft","56710","14","Straight","12","Strive For Glory (USA)","2","Kingscote, Richard","0","Cowell, R M H","4","0","127","50.00","13","28",,"Dialed In (USA)","Chu And You (USA)","Colt","D",
"2019-06-20","14:30:00","Ascot","Norfolk Stakes (Group 2)","5f ","5","Group 2","Soft","56710","14","Straight","13","Sunday Sovereign","2","Lee, W J","0","Twomey, P","10","0","127","1.63","411","16",,"Equiano (FR)","Red Sovereign","Colt","D",
"2019-06-20","14:30:00","Ascot","Norfolk Stakes (Group 2)","5f ","5","Group 2","Soft","56710","14","Straight","14","Ventura Rebel","2","Hanagan, Paul","0","Fahey, R A","11","0","127","16.00","11","50",,"Pastoral Pursuits","Finalize","Colt","CD",
"2019-06-20","14:30:00","Ascot","Norfolk Stakes (Group 2)","5f ","5","Group 2","Soft","56710","14","Straight","15","Emten (IRE)","2","Currie, Nicola","0","Osborne, J A","15","0","124","80.00","1","52",,"Bungle Inthejungle","Lucky Leigh","Filly","D",
"2019-06-20","14:45:00","Ripon","Topsport Equisand Handicap","5f ","5","Class 5","Good To Soft","4075","6","Straight","1","The Defiant","3",,"0","Midgley, P T","4","70","133","0.00","'0741611","17",,"Morpheus","Killer Class","Gelding","D",
"2019-06-20","14:45:00","Ripon","Topsport Equisand Handicap","5f ","5","Class 5","Good To Soft","4075","6","Straight","2","Dancing Rave","3","Tudhope, Daniel","0","OMeara, D","7","70","133","1.25","2420941","9",,"Coach House (IRE)","Right Rave (IRE)","Filly","D",
"2019-06-20","14:45:00","Ripon","Topsport Equisand Handicap","5f ","5","Class 5","Good To Soft","4075","6","Straight","3","Timetodock","3","Allan, David","0","Easterby, T D","6","64","127","3.00","1073315","9","Blnk","Harbour Watch (IRE)","Unwrapit (USA)","Gelding",,
"2019-06-20","14:45:00","Ripon","Topsport Equisand Handicap","5f ","5","Class 5","Good To Soft","4075","6","Straight","4","Ginvincible","3","McHugh, B","0","Given, J G","3","62","125","10.00","3065342","19",,"Zebedee","Gone Sailing","Filly",,
"2019-06-20","14:45:00","Ripon","Topsport Equisand Handicap","5f ","5","Class 5","Good To Soft","4075","6","Straight","5","Montalvan (IRE)","3","Lee, Clifford","0","Fell, Roger","2","57","120","12.00","8775097","24","CkPc","Lope De Vega (IRE)","Shermeen (IRE)","Gelding",,
"2019-06-20","14:45:00","Ripon","Topsport Equisand Handicap","5f ","5","Class 5","Good To Soft","4075","6","Straight","6","Dancing Mountain (IRE)","3","Curtis, B A","0","Fell, Roger","5","55","118","6.00","4050264","17",,"Kodiac","Pearl Mountain (IRE)","Filly",,
"2019-06-20","14:45:00","Ripon","Topsport Equisand Handicap","5f ","5","Class 5","Good To Soft","4075","6","Straight","7","Muhallab (IRE)","3","Coughlan, Laura","7","Nicholls, Adrian","1","54","117","8.00","53405","23",,"War Command (USA)","Andrea Bellevica (IRE)","Gelding",,
"2019-06-20","14:55:00","Chelmsford City","Australian Gold Summer Handicap","1m ","8","Class 3","Standard","10350","8","Left Handed","1","Cliffs Of Capri","5","Costello, Dougie","0","Osborne, J A","4","97","135","8.50","7912651","258","CkPc","Canford Cliffs (IRE)","Shannon Spree","Gelding","D",
"2019-06-20","14:55:00","Chelmsford City","Australian Gold Summer Handicap","1m ","8","Class 3","Standard","10350","8","Left Handed","2","Via Serendipity","5","Muscutt, D","0","Williams, S C","5","95","133","6.00","1341008","26"," TT","Invincible Spirit (IRE)","Mambo Light (USA)","Gelding","D",
"2019-06-20","14:55:00","Chelmsford City","Australian Gold Summer Handicap","1m ","8","Class 3","Standard","10350","8","Left Handed","3","Masham Star (IRE)","5","Hart, Jason","0","Johnston, M","1","94","132","3.33","2632438","5",,"Lawman (FR)","Croisiere (USA)","Gelding","C",
"2019-06-20","14:55:00","Chelmsford City","Australian Gold Summer Handicap","1m ","8","Class 3","Standard","10350","8","Left Handed","4","Ballard Down (IRE)","6","Marsh, Finley","3","Pipe, D E","2","92","130","7.00","3398611","17","Vsor","Canford Cliffs (IRE)","Mackenzies Friend","Gelding","D",
"2019-06-20","14:55:00","Chelmsford City","Australian Gold Summer Handicap","1m ","8","Class 3","Standard","10350","8","Left Handed","5","Domagnano (IRE)","4","Cherchi, Stefano","7","Botti, M","6","92","130","40.00","7","28"," TT","Planteur (IRE)","Daloisi (FR)","Gelding",,
"2019-06-20","14:55:00","Chelmsford City","Australian Gold Summer Handicap","1m ","8","Class 3","Standard","10350","8","Left Handed","6","Qaysar (FR)","4","Levey, S M","0","Hannon (Jnr), Richard","8","90","128","2.50","1100803","12",,"Choisir (AUS)","Coco Demure (IRE)","Gelding",,
"2019-06-20","14:55:00","Chelmsford City","Australian Gold Summer Handicap","1m ","8","Class 3","Standard","10350","8","Left Handed","7","Enigmatic (IRE)","5","Keenan, Darragh","5","Bailey, A","3","90","128","6.50","2316014","34",,"Elnadim (USA)","Meanwhile (IRE)","Gelding","CD",
"2019-06-20","14:55:00","Chelmsford City","Australian Gold Summer Handicap","1m ","8","Class 3","Standard","10350","8","Left Handed","8","Tahreek","4","Kelly, Shane","0","Stoute, Sir Michael","7","86","124","3.50","5416413","14",,"Dansili","Rifqah (USA)","Gelding","D",
"2019-06-20","15:05:00","Ascot","Hampton Court Stakes (Group 3)","1m2f ","10","Group 3","Soft","51039","13","Right Handed","1","Arthur Kitt","3","Kingscote, Richard","0","Dascombe, Tom","14","106","126","40.00","1125562","10",,"Camelot","Ceiling Kitty","Colt","C",
"2019-06-20","15:05:00","Ascot","Hampton Court Stakes (Group 3)","1m2f ","10","Group 3","Soft","51039","13","Right Handed","2","Buckhurst (IRE)","3",,"0","OBrien, Joseph Patrick","5","104","126","0.00","152","27",,"Australia","Artful (IRE)","Colt",,
"2019-06-20","15:05:00","Ascot","Hampton Court Stakes (Group 3)","1m2f ","10","Group 3","Soft","51039","13","Right Handed","3","Cape Of Good Hope (IRE)","3","Moore, Ryan","0","OBrien, A P","1","110","126","4.50","741231","57",,"Galileo (IRE)","Hveger (AUS)","Colt","D",
"2019-06-20","15:05:00","Ascot","Hampton Court Stakes (Group 3)","1m2f ","10","Group 3","Soft","51039","13","Right Handed","4","Cap Francais","3","Spencer, Jamie","0","Walker, Ed","2","103","126","14.00","21124","40",,"Frankel","Miss Cap Ferrat","Colt",,
"2019-06-20","15:05:00","Ascot","Hampton Court Stakes (Group 3)","1m2f ","10","Group 3","Soft","51039","13","Right Handed","5","Eightsome Reel","3","McDonald, James","0","Bell, M L W","9","99","126","50.00","1312","33",,"Iffraaj","Set To Music (IRE)","Colt","D",
"2019-06-20","15:05:00","Ascot","Hampton Court Stakes (Group 3)","1m2f ","10","Group 3","Soft","51039","13","Right Handed","6","Fox Chairman (IRE)","3","Sousa, Silvestre De","0","Balding, A M","4","0","126","3.50","13","42",,"Kingman","Starfish (IRE)","Colt",,
"2019-06-20","15:05:00","Ascot","Hampton Court Stakes (Group 3)","1m2f ","10","Group 3","Soft","51039","13","Right Handed","7","Getchagetchagetcha","3","Kirby, Adam","0","Cox, C G","12","95","126","80.00","104721","10",,"Champs Elysees","Paella (IRE)","Colt","C",
"2019-06-20","15:05:00","Ascot","Hampton Court Stakes (Group 3)","1m2f ","10","Group 3","Soft","51039","13","Right Handed","8","Global Spectrum","3","Mosse, G","0","Kelleway, Miss Gay","3","104","126","125.00","117","64",,"Dutch Art","Lady Darshaan (IRE)","Colt",,
"2019-06-20","15:05:00","Ascot","Hampton Court Stakes (Group 3)","1m2f ","10","Group 3","Soft","51039","13","Right Handed","9","Great Scot","3","Crowley, Jim","0","Dascombe, Tom","10","110","126","14.00","111529","47",,"Requinto (IRE)","La Rosiere (USA)","Colt",,
"2019-06-20","15:05:00","Ascot","Hampton Court Stakes (Group 3)","1m2f ","10","Group 3","Soft","51039","13","Right Handed","10","Headman","3",,"0","Charlton, R","7","104","126","0.00","1261","33",,"Kingman","Deliberate","Colt","D",
"2019-06-20","15:05:00","Ascot","Hampton Court Stakes (Group 3)","1m2f ","10","Group 3","Soft","51039","13","Right Handed","11","Kick On","3","Murphy, Oisin","0","Gosden, J H M","11","109","126","9.00","21617","47",,"Charm Spirit (IRE)","Marika","Colt",,
"2019-06-20","15:05:00","Ascot","Hampton Court Stakes (Group 3)","1m2f ","10","Group 3","Soft","51039","13","Right Handed","12","King Ottokar (FR)","3","Doyle, James","0","Fellowes, Charlie","6","106","126","5.50","1914","43",,"Motivator","Treasure (FR)","Colt","D",
"2019-06-20","15:05:00","Ascot","Hampton Court Stakes (Group 3)","1m2f ","10","Group 3","Soft","51039","13","Right Handed","13","Old Glory (IRE)","3","Heffernan, J A","0","OBrien, A P","15","102","126","33.00","12393","13",,"Frankel","Belesta","Colt",,
"2019-06-20","15:05:00","Ascot","Hampton Court Stakes (Group 3)","1m2f ","10","Group 3","Soft","51039","13","Right Handed","14","Roseman (IRE)","3","Atzeni, Andrea","0","Varian, Roger","13","105","126","9.00","312","28",,"Kingman","Go Lovely Rose (IRE)","Colt",,
"2019-06-20","15:05:00","Ascot","Hampton Court Stakes (Group 3)","1m2f ","10","Group 3","Soft","51039","13","Right Handed","15","Sangarius","3","Dettori, L","0","Stoute, Sir Michael","8","105","126","5.50","1143","28"," TT","Kingman","Trojan Queen (USA)","Colt",,
"2019-06-20","15:20:00","Ripon","Slingsby Gin Handicap","1m4f ","12","Class 4","Good To Soft","5693","5","Right Handed","1","Battle Of Wills (IRE)","3","Allan, David","0","Tate, James","3","82","141","3.00","754141","18",,"Lawman (FR)","Maidin Maith (IRE)","Colt",,
"2019-06-20","15:20:00","Ripon","Slingsby Gin Handicap","1m4f ","12","Class 4","Good To Soft","5693","5","Right Handed","2","Cuban Sun","3","McHugh, B","0","Given, J G","4","74","133","16.00","'0305216","30",,"Havana Gold (IRE)","Sunseek","Filly",,
"2019-06-20","15:20:00","Ripon","Slingsby Gin Handicap","1m4f ","12","Class 4","Good To Soft","5693","5","Right Handed","3","Faylaq","3","Tudhope, Daniel","0","Haggas, W J","2","73","132","0.67","654","43",,"Dubawi (IRE)","Danedream (GER)","Colt",,
"2019-06-20","15:20:00","Ripon","Slingsby Gin Handicap","1m4f ","12","Class 4","Good To Soft","5693","5","Right Handed","4","Mister Chiang","3","Beasley, Connor","0","Johnston, M","1","73","132","6.00","2241475","15",,"Archipenko (USA)","Robe Chinoise","Colt",,
"2019-06-20","15:20:00","Ripon","Slingsby Gin Handicap","1m4f ","12","Class 4","Good To Soft","5693","5","Right Handed","5","Agravain","3","Sullivan, James P","0","Easterby, T D","5","59","118","9.00","7997911","22",,"Camelot","Pivotal Lady","Gelding","D",
"2019-06-20","15:30:00","Chelmsford City","John Lewis And Partners Personal Styling Handicap","1m2f ","10","Class 3","Standard","10350","10","Left Handed","1","Fayez (IRE)","5","Gray, S A","0","OMeara, D","5","97","136","6.50","5419311","14","CkPc","Zoffany (IRE)","Gems","Gelding","C",
"2019-06-20","15:30:00","Chelmsford City","John Lewis And Partners Personal Styling Handicap","1m2f ","10","Class 3","Standard","10350","10","Left Handed","2","Spanish Archer (FR)","4","Muscutt, D","0","Fanshawe, J R","2","94","133","4.00","4122","266",,"Lope De Vega (IRE)","Parcelle Perdue (FR)","Gelding",,
"2019-06-20","15:30:00","Chelmsford City","John Lewis And Partners Personal Styling Handicap","1m2f ","10","Class 3","Standard","10350","10","Left Handed","3","El Ghazwani (IRE)","4","Mitchell, Jack","0","Palmer, Hugo","4","93","132","4.50","5158113","49"," TT","Cape Cross (IRE)","Almansoora (USA)","Colt","D",
"2019-06-20","15:30:00","Chelmsford City","John Lewis And Partners Personal Styling Handicap","1m2f ","10","Class 3","Standard","10350","10","Left Handed","4","Nonios (IRE)","7","Hogan, D E","5","Simcock, D M","3","93","132","12.00","3341246","28","Hood","Oasis Dream","Young And Daring (USA)","Gelding","CD",
"2019-06-20","15:30:00","Chelmsford City","John Lewis And Partners Personal Styling Handicap","1m2f ","10","Class 3","Standard","10350","10","Left Handed","5","Mistiroc","8","Hart, Jason","0","Quinn, J J","6","91","130","18.00","'0044527","34","Vsor","Rocamadour","Mistinguett (IRE)","Gelding","D",
"2019-06-20","15:30:00","Chelmsford City","John Lewis And Partners Personal Styling Handicap","1m2f ","10","Class 3","Standard","10350","10","Left Handed","6","Rufus King","4","Morris, Luke","0","Johnston, M","10","90","129","16.00","9300939","20",,"Iffraaj","Mosqueras Romance","Gelding","C",
"2019-06-20","15:30:00","Chelmsford City","John Lewis And Partners Personal Styling Handicap","1m2f ","10","Class 3","Standard","10350","10","Left Handed","7","Lexington Empire","4","Kelly, Shane","0","Lanigan, D R","1","89","128","8.00","1313117","29","Blnk","Intello (GER)","Emperice (USA)","Gelding","CD",
"2019-06-20","15:30:00","Chelmsford City","John Lewis And Partners Personal Styling Handicap","1m2f ","10","Class 3","Standard","10350","10","Left Handed","8","Fennaan (IRE)","4","James, S H","0","Makin, Phillip","9","88","127","6.50","8005526","24","Hood","Footstepsinthesand","Sanadaat","Gelding",,
"2019-06-20","15:30:00","Chelmsford City","John Lewis And Partners Personal Styling Handicap","1m2f ","10","Class 3","Standard","10350","10","Left Handed","9","Shareef Star","4","Steward, Louis","0","Stoute, Sir Michael","7","87","126","4.50","'042712","24","Blnk","Sea The Stars (IRE)","Gotlandia (FR)","Gelding","D",
"2019-06-20","15:30:00","Chelmsford City","John Lewis And Partners Personal Styling Handicap","1m2f ","10","Class 3","Standard","10350","10","Left Handed","10","Star Of Southwold (FR)","4","Rawlinson, Ali","0","Appleby, M","8","85","124","14.00","3212204","34",,"Le Havre (IRE)","Into The Wild (FR)","Gelding","CD",
"2019-06-20","15:40:00","Ascot","Ribblesdale Stakes (Fillies Group 2)","1m4f ","12","Group 2","Soft","121926","11","Right Handed","1","Altair (IRE)","3","OBrien, Donnacha","0","OBrien, Joseph Patrick","1","93","126","40.00","151","22","CkPc","Australia","Eccentricity (USA)","Filly",,
"2019-06-20","15:40:00","Ascot","Ribblesdale Stakes (Fillies Group 2)","1m4f ","12","Group 2","Soft","121926","11","Right Handed","2","Fanny Logan (IRE)","3","Atzeni, Andrea","0","Gosden, J H M","3","94","126","14.00","213","43",,"Sea The Stars (IRE)","Linda Radlett (IRE)","Filly",,
"2019-06-20","15:40:00","Ascot","Ribblesdale Stakes (Fillies Group 2)","1m4f ","12","Group 2","Soft","121926","11","Right Handed","3","Fleeting (IRE)","3","Moore, Ryan","0","OBrien, A P","9","110","126","1.50","173103","20",,"Zoffany (IRE)","Azafata (SPA)","Filly",,
"2019-06-20","15:40:00","Ascot","Ribblesdale Stakes (Fillies Group 2)","1m4f ","12","Group 2","Soft","121926","11","Right Handed","4","Frankellina","3","Doyle, James","0","Haggas, W J","4","105","126","8.00","126","20",,"Frankel","Our Obsession (IRE)","Filly",,
"2019-06-20","15:40:00","Ascot","Ribblesdale Stakes (Fillies Group 2)","1m4f ","12","Group 2","Soft","121926","11","Right Handed","5","Fresnel","3","Halpin, G P","0","Davison, Jack W","11","98","126","33.00","1544","36",,"Sea The Stars (IRE)","Candle Lit (IRE)","Filly",,
"2019-06-20","15:40:00","Ascot","Ribblesdale Stakes (Fillies Group 2)","1m4f ","12","Group 2","Soft","121926","11","Right Handed","6","Love So Deep (JPN)","3","Egan, John","0","Chapple-Hyam, Jane","10","95","126","100.00","7531173","28",,"Deep Impact (JPN)","Soinlovewithyou (USA)","Filly",,
"2019-06-20","15:40:00","Ascot","Ribblesdale Stakes (Fillies Group 2)","1m4f ","12","Group 2","Soft","121926","11","Right Handed","7","Peach Tree (IRE)","3","Heffernan, J A","0","OBrien, A P","2","102","126","33.00","8201402","6",,"Galileo (IRE)","Pikaboo","Filly",,
"2019-06-20","15:40:00","Ascot","Ribblesdale Stakes (Fillies Group 2)","1m4f ","12","Group 2","Soft","121926","11","Right Handed","8","Queen Power (IRE)","3","Sousa, Silvestre De","0","Stoute, Sir Michael","8","100","126","4.50","121","33",,"Shamardal (USA)","Princess Serena (USA)","Filly",,
"2019-06-20","15:40:00","Ascot","Ribblesdale Stakes (Fillies Group 2)","1m4f ","12","Group 2","Soft","121926","11","Right Handed","9","Shambolic (IRE)","3","Havlin, Robert","0","Gosden, J H M","7","100","126","25.00","11422","28",,"Shamardal (USA)","Comic (IRE)","Filly","C",
